timestamp,sensor_id,x,y,z,pm25,co2,temperature,humidity
2024-01-01T00:00:00,S001,2.79,-9.5,-4.5,42.6,350,16.3,88.8
2024-01-01T00:00:00,S002,-5.54,4.73,3.53,58.5,350,16.3,87.3
2024-01-01T00:00:00,S003,7.84,-8.26,-1.56,70.8,402.2,16.4,86.9
2024-01-01T00:00:00,S004,-9.4,-5.63,0.11,69.5,417.3,16.9,84.8
2024-01-01T00:00:00,S005,-9.47,-6.02,3.0,52.5,350.7,16.0,86.6
2024-01-01T00:00:00,S006,0.9,-5.59,1.79,59.7,350,16.1,86.8
2024-01-01T00:00:00,S007,6.19,-9.87,6.12,73.7,411.0,16.2,87.1
2024-01-01T00:00:00,S008,3.96,-3.19,-6.89,37.6,350,16.1,86.9
2024-01-01T00:00:00,S010,-8.07,6.95,2.07,35.8,363.9,16.4,87.6
2024-01-01T00:00:00,S011,6.14,4.59,0.72,15.9,350,15,87.1
2024-01-01T00:00:00,S012,9.46,-2.43,1.04,59.2,361.5,16.4,87.6
2024-01-01T00:00:00,S013,6.59,2.37,7.23,27.8,350,15.7,89.8
2024-01-01T00:00:00,S014,1.55,4.09,-9.08,35.2,350,16.0,90
2024-01-01T00:00:00,S016,-5.34,-7.98,-4.44,26.8,350,16.0,85.7
2024-01-01T00:00:00,S017,2.71,-2.7,-2.6,70.1,392.7,15.8,89.0
2024-01-01T00:00:00,S018,-5.81,-4.66,8.73,47.6,350,15.8,89.3
2024-01-01T00:00:00,S019,2.96,2.18,-6.58,47.8,356.7,15,89.6
2024-01-01T00:00:00,S020,4.58,-6.73,-2.41,67.0,359.6,15.8,89.7
2024-01-01T00:00:00,S022,3.69,6.86,5.52,32.1,350,15.7,86.5
2024-01-01T00:00:00,S023,-5.42,-9.36,-3.69,53.8,377.8,16.7,86.3
2024-01-01T00:00:00,S024,-4.65,-5.78,8.86,65.6,385.6,15.7,86.9
2024-01-01T00:00:00,S025,7.53,-3.71,3.11,50.2,350,16.1,88.9
2024-01-01T00:00:00,S027,-4.7,-5.07,1.23,21.2,350,16.5,88.6
2024-01-01T00:00:00,S028,-4.75,1.69,7.96,57.9,390.9,15.6,87.9
2024-01-01T00:00:00,S029,-2.01,-5.61,9.95,75.0,388.7,16.0,87.2
