id,diameter,fluorescence,viability,cellType
1,15.2,456,78.5,T-Cell
2,18.7,623,92.1,B-Cell
3,12.4,289,45.3,T-Cell
4,22.1,789,85.6,Macrophage
5,10.8,156,32.1,NK-Cell
6,16.5,512,67.8,T-Cell
7,19.3,678,78.9,B-Cell
8,14.7,398,56.7,T-Cell
9,24.5,892,91.2,Macrophage
10,11.2,234,41.5,NK-Cell
11,17.8,567,72.3,T-Cell
12,20.1,712,83.4,B-Cell
13,13.6,345,51.2,T-Cell
14,23.2,834,88.7,Macrophage
15,9.8,123,28.9,NK-Cell
16,15.9,489,69.8,T-Cell
17,18.2,598,76.5,B-Cell
18,12.9,312,47.6,T-Cell
19,21.7,756,86.3,Macrophage
20,10.5,189,35.2,NK-Cell
21,17.1,534,68.7,T-Cell
22,19.8,654,79.8,B-Cell
23,14.1,378,54.3,T-Cell
24,24.1,876,90.5,Macrophage
25,11.6,267,43.8,NK-Cell
26,16.3,501,66.4,T-Cell
27,18.9,634,77.6,B-Cell
28,13.3,323,49.1,T-Cell
29,22.6,812,87.2,Macrophage
30,10.1,167,31.8,NK-Cell
31,15.7,472,71.2,T-Cell
32,19.5,689,81.3,B-Cell
33,12.7,298,46.5,T-Cell
34,23.8,867,89.4,Macrophage
35,11.1,245,42.1,NK-Cell
36,17.4,556,73.6,T-Cell
37,20.3,723,84.1,B-Cell
38,14.4,387,55.8,T-Cell
39,21.9,789,85.9,Macrophage
40,9.5,112,26.7,NK-Cell
41,16.8,523,69.1,T-Cell
42,18.5,612,75.4,B-Cell
43,13.8,356,52.3,T-Cell
44,24.3,889,91.8,Macrophage
45,10.8,198,36.5,NK-Cell
46,15.4,467,68.2,T-Cell
47,19.1,667,78.7,B-Cell
48,12.5,302,44.8,T-Cell
49,22.8,823,87.8,Macrophage
50,11.3,223,39.4,NK-Cell
51,17.6,578,74.5,T-Cell
52,20.5,745,85.2,B-Cell
53,14.2,367,53.6,T-Cell
54,23.5,856,88.9,Macrophage
55,10.2,176,33.2,NK-Cell
56,16.1,495,67.1,T-Cell
57,18.8,645,77.2,B-Cell
58,13.1,334,48.5,T-Cell
59,22.3,798,86.7,Macrophage
60,9.9,145,29.8,NK-Cell
61,15.8,481,70.3,T-Cell
62,19.7,701,82.1,B-Cell
63,12.8,287,45.7,T-Cell
64,24.0,878,90.8,Macrophage
65,11.4,234,40.8,NK-Cell
66,17.2,543,71.8,T-Cell
67,20.1,715,83.8,B-Cell
68,14.6,392,56.2,T-Cell
69,21.5,767,85.1,Macrophage
70,9.7,134,27.5,NK-Cell
71,16.5,510,68.9,T-Cell
72,18.3,595,74.9,B-Cell
73,13.5,348,50.8,T-Cell
74,23.9,872,91.5,Macrophage
75,10.6,187,34.6,NK-Cell
76,15.1,458,69.5,T-Cell
77,19.4,672,79.4,B-Cell
78,12.3,276,43.2,T-Cell
79,22.5,818,87.5,Macrophage
80,11.0,212,38.1,NK-Cell
81,17.9,589,75.8,T-Cell
82,20.7,752,85.6,B-Cell
83,14.0,361,52.9,T-Cell
84,23.3,845,88.2,Macrophage
85,10.3,165,32.5,NK-Cell
86,16.7,530,70.1,T-Cell
87,18.6,628,76.8,B-Cell
88,13.0,321,47.2,T-Cell
89,21.8,778,86.1,Macrophage
